,part1, part2, part3,Latitude,Longitude
0,16-я Парковая улица,,,55.8014687,37.8294869
1,1-й Паловский переулок,,,55.7165001,37.63107979999999
2,1-я Аэропортовская улица,,,55.80094010000001,37.5361836
3,1-я Владимирская улица,,,55.7539989,37.7772092
4,1-я Вольская улица,,,55.6833341,37.9217648
5,1-я Останкинская улица,,,55.8243109,37.6189851
6,26 Бакинских Комиссаров улица,,,55.6592549,37.4882825
7,2-й Стрелецкий переулок,,,55.7970367,37.6066495
8,2-й Тушинский проезд,,,55.8341229,37.421839
9,2-я Владимирская улица, 19,,55.7584005,37.781575
10,2-я Владимирская улица, 21,,55.7578367,37.7810696
11,2-я Звенигородская улица,,,55.7598612,37.5549344
12,2-я Кабельная улица,,,55.7488728,37.7145838
13,2-я Останкинская улица,,,55.8254915,37.6259475
14,3-я Гражданская улица,,,55.8114538,37.7084873
15,40 лет Октября проспект, 19,,55.67697889999999,37.7462805
16,40 лет Октября проспект, 4,,55.683149,37.744113
17,4-й Вятский переулок,,,55.800731,37.5746676
18,5-я Соколиной горы улица, 19,,55.7636668,37.73623540000001
19,5-я Соколиной горы улица, 25,,55.7657736,37.7431007
20,6-я Кожуховская улица,,,55.7068804,37.6757303
21,800-летия Москвы улица, 1,,55.8790539,37.5499227
22,800-летия Москвы улица, 24,,55.8793531,37.55906270000001
23,9-я Парковая улица,,,55.7996509,37.7990957
24,9-я Соколиной Горы улица,,,55.77263379999999,37.7359956
25,Абрамцевская улица,,,55.90007079999999,37.5738266
26,Авангардная улица,,,59.8330568,30.182368
27,Авиаконструктора Миля улица, 4,,55.686119,37.84997389999999
28,Авиаконструктора Миля улица, 7,,55.68655529999999,37.85473
29,Авиаторов улица,,,55.64384519999999,37.4005939
30,Академика Анохина улица,,,55.6574243,37.4718856
31,Академика Арцимовича улица,,,55.6426683,37.5119143
32,Академика Павлова улица,,,55.7439864,37.4008857
33,Академика Челомея улица,,,55.6614255,37.5316831
34,Алтайская улица,,,55.8202097,37.8172586
35,Алтуфьевское шоссе, 16,,55.8573404,37.5855868
36,Алтуфьевское шоссе, 58,,55.8817684,37.5875272
37,Алтуфьевское шоссе, 60,,55.8828524,37.5878771
38,Алтуфьевское шоссе, 84,,55.896213,37.588146
39,Анадырский проезд,,,55.8709372,37.6954735
40,Ангарская улица, 61,,55.884486,37.529227
41,Ангарская улица, 67,,55.8859724,37.5254965
42,Ангелов переулок,,,55.85281519999999,37.3475311
43,Артамонова улица,,,55.7189811,37.4569147
44,Астраханский переулок,,,55.7796408,37.6412354
45,Б. Академическая,,,55.8329049,37.53306570000001
46,Б. Каменщики улица,,,55.73752039999999,37.6549177
47,Багрицкого улица,,,55.7190533,37.43715
48,Байкальская улица, 37,,55.81793,37.814238
49,Байкальская улица, 40,,55.816869,37.8079234
50,Байкальская улица, 45,,55.818074,37.8205699
51,Балаклавский проспект,,,55.6422922,37.591317
52,Бауманская улица,,,55.7702339,37.6791466
53,Беговая аллея,,,55.7820391,37.5626136
54,Беговая улица,,,55.7807238,37.5592322
55,Беловежская улица,,,55.7098447,37.3970686
56,Беломорская улица,,,55.8626306,37.4747417
57,Бескудниковский бульвар, 55,,55.87263890000001,37.5401089
58,Бескудниковский бульвар, 57,,55.872395,37.538803
59,Бибиревская улица,,,55.87987409999999,37.5953889
60,Бирюлевская улица, 13,,55.59733600000001,37.6632889
